,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
24,Renaissance Hotel,0,127,2018,July,27,1,2,5,2,0,0,HB,GBR,TA/TO,0,0,0,D,I,0,No Deposit,115.0,,0,Contract,94.95,0,1
25,Renaissance Hotel,0,78,2018,July,27,1,2,5,2,0,0,BB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,5.0,,0,Transient,63.6,1,0
26,Renaissance Hotel,0,48,2018,July,27,1,2,5,2,0,0,BB,IRL,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Contract,79.5,0,0
27,Renaissance Hotel,1,60,2018,July,27,1,2,5,2,0,0,BB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,107.0,0,2
28,Renaissance Hotel,0,77,2018,July,27,1,2,5,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,94.0,0,0
29,Renaissance Hotel,0,99,2018,July,27,1,2,5,2,0,0,BB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,87.3,1,1
30,Renaissance Hotel,0,118,2018,July,27,1,4,10,1,0,0,BB,,Direct,0,0,0,A,A,2,No Deposit,,,0,Transient,62.0,0,2
31,Renaissance Hotel,0,95,2018,July,27,1,4,11,2,0,0,BB,GBR,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,63.86,0,0
32,Renaissance Hotel,1,96,2018,July,27,1,2,8,2,0,0,BB,PRT,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,108.3,0,2
33,Renaissance Hotel,0,69,2018,July,27,2,2,4,2,0,0,BB,IRL,TA/TO,0,0,0,A,C,0,No Deposit,175.0,,0,Transient,65.5,0,0
34,Renaissance Hotel,1,45,2018,July,27,2,1,3,3,0,0,BB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,108.8,0,1
35,Renaissance Hotel,1,40,2018,July,27,2,1,3,3,0,0,BB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,108.8,0,1
36,Renaissance Hotel,0,15,2018,July,27,2,1,3,2,0,0,BB,ESP,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,98.0,0,0
37,Renaissance Hotel,0,36,2018,July,27,2,1,3,3,0,0,BB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,108.8,0,1
38,Renaissance Hotel,1,43,2018,July,27,2,1,3,3,0,0,BB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,108.8,0,0
39,Renaissance Hotel,0,70,2018,July,27,2,2,3,2,0,0,HB,ROU,Direct,0,0,0,E,E,0,No Deposit,250.0,,0,Transient,137.0,0,1
40,Renaissance Hotel,1,45,2018,July,27,2,2,3,2,0,0,BB,PRT,TA/TO,0,0,0,G,G,0,No Deposit,241.0,,0,Transient,117.81,0,0
41,Renaissance Hotel,0,45,2018,July,27,2,2,3,2,0,0,BB,IRL,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Contract,79.5,0,0
42,Renaissance Hotel,0,16,2018,July,27,2,2,3,2,0,0,BB,ESP,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,123.0,0,0
43,Renaissance Hotel,0,70,2018,July,27,2,2,3,2,0,0,HB,ROU,Direct,0,0,0,E,E,0,No Deposit,250.0,,0,Transient,137.0,0,1
44,Renaissance Hotel,0,107,2018,July,27,2,2,5,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,110.7,0,2
45,Renaissance Hotel,1,47,2018,July,27,2,2,5,2,2,0,BB,PRT,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,153.0,0,0
46,Renaissance Hotel,0,96,2018,July,27,2,2,5,2,0,0,BB,ESP,TA/TO,0,0,0,A,A,0,No Deposit,134.0,,0,Transient,58.95,0,1
47,Renaissance Hotel,0,113,2018,July,27,2,2,5,2,0,0,BB,NOR,TA/TO,0,0,0,E,E,0,No Deposit,156.0,,0,Transient-Party,82.88,0,2
48,Renaissance Hotel,0,90,2018,July,27,2,2,5,2,0,0,HB,GBR,TA/TO,0,0,0,A,B,1,No Deposit,243.0,,0,Contract,82.35,0,0
49,Renaissance Hotel,0,50,2018,July,27,2,2,5,2,0,0,HB,IRL,TA/TO,0,0,0,E,F,1,No Deposit,241.0,,0,Transient,119.35,0,1
50,Renaissance Hotel,0,113,2018,July,27,2,2,5,2,0,0,BB,NOR,TA/TO,0,0,0,D,D,0,No Deposit,156.0,,0,Transient-Party,67.58,0,2
51,Renaissance Hotel,0,93,2018,July,27,2,3,8,2,0,0,BB,IRL,TA/TO,0,0,0,A,A,0,No Deposit,156.0,,0,Contract,56.01,0,0
52,Renaissance Hotel,0,76,2018,July,27,2,4,10,2,0,0,BB,OMN,TA/TO,0,0,0,D,D,0,No Deposit,243.0,,0,Contract,110.7,0,0
53,Renaissance Hotel,0,3,2018,July,27,2,0,1,2,0,0,BB,ESP,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,88.2,1,0
54,Renaissance Hotel,0,1,2018,July,27,2,0,1,2,0,0,BB,ARG,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,147.0,1,0
55,Renaissance Hotel,0,1,2018,July,27,2,0,1,2,2,0,BB,ESP,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,107.0,1,2
56,Renaissance Hotel,0,0,2018,July,27,2,0,1,2,0,0,BB,PRT,Direct,0,0,0,H,H,0,No Deposit,,,0,Transient,147.0,0,0
57,Renaissance Hotel,0,0,2018,July,27,2,0,1,2,0,0,BB,PRT,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,117.9,0,2
58,Renaissance Hotel,0,0,2018,July,27,2,0,1,2,0,0,BB,PRT,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,123.0,0,0
59,Renaissance Hotel,0,14,2018,July,27,2,0,2,2,0,0,BB,USA,TA/TO,0,0,0,A,C,0,No Deposit,242.0,,0,Transient,98.0,0,1
60,Renaissance Hotel,0,10,2018,July,27,2,0,2,2,0,0,BB,PRT,TA/TO,0,0,0,G,G,0,No Deposit,241.0,,0,Transient,117.81,0,0
61,Renaissance Hotel,0,5,2018,July,27,2,0,2,2,0,0,BB,IRL,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,135.0,1,2
62,Renaissance Hotel,0,17,2018,July,27,2,0,3,2,0,0,BB,ESP,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,133.0,0,1
63,Renaissance Hotel,0,93,2018,July,27,2,0,3,2,0,0,BB,IRL,TA/TO,0,0,0,A,C,0,No Deposit,115.0,,0,Contract,58.95,0,0
64,Renaissance Hotel,1,3,2018,July,27,2,0,3,2,0,0,HB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,136.33,0,2
65,Renaissance Hotel,0,10,2018,July,27,3,0,2,2,2,0,BB,USA,TA/TO,0,0,0,G,H,0,No Deposit,240.0,,0,Transient,153.0,1,0
66,Renaissance Hotel,0,3,2018,July,27,3,0,2,2,0,0,BB,ESP,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,110.5,0,0
67,Renaissance Hotel,0,51,2018,July,27,3,0,2,2,0,0,BB,POL,TA/TO,0,0,0,D,D,0,No Deposit,242.0,,0,Transient,97.0,0,0
68,Renaissance Hotel,1,71,2018,July,27,3,0,2,3,0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,110.3,0,2
69,Renaissance Hotel,1,63,2018,July,27,3,0,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,82.0,0,2
70,Renaissance Hotel,1,62,2018,July,27,3,0,2,2,0,0,BB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,97.0,0,1
71,Renaissance Hotel,1,101,2018,July,27,3,0,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,73.8,0,1
72,Renaissance Hotel,0,2,2018,July,27,3,0,2,2,0,0,HB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient,91.5,0,0
73,Renaissance Hotel,0,15,2018,July,27,3,0,2,2,0,0,BB,ESP,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,114.5,0,0
74,Renaissance Hotel,1,51,2018,July,27,3,0,2,3,0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,110.3,0,0
75,Renaissance Hotel,0,3,2018,July,27,3,1,2,2,0,0,BB,ESP,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,90.9,1,0
76,Renaissance Hotel,1,48,2018,July,27,3,1,2,2,0,0,BB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,123.0,0,0
77,Renaissance Hotel,0,2,2018,July,27,3,2,2,1,0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,122.0,0,0
78,Renaissance Hotel,0,72,2018,July,27,3,2,2,2,0,0,BB,DEU,TA/TO,0,0,0,A,A,0,No Deposit,105.0,,0,Transient,110.7,1,0
79,Renaissance Hotel,0,81,2018,July,27,3,2,6,3,0,0,BB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,5.0,,0,Transient,85.86,0,0
80,Renaissance Hotel,0,99,2018,July,27,3,2,7,2,0,0,BB,FRA,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Contract,58.95,0,0
81,Renaissance Hotel,1,368,2018,July,27,3,3,7,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Contract,55.68,0,0
82,Renaissance Hotel,0,364,2018,July,27,3,3,7,2,0,0,BB,GBR,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Contract,55.68,0,0
83,Renaissance Hotel,1,81,2018,July,27,3,3,7,2,0,0,HB,PRT,Direct,0,0,0,A,A,2,No Deposit,250.0,,0,Transient,124.0,0,1
84,Renaissance Hotel,0,99,2018,July,27,3,3,7,2,0,0,HB,GBR,TA/TO,0,0,0,E,E,0,No Deposit,115.0,,0,Contract,111.15,0,0
85,Renaissance Hotel,0,324,2018,July,27,3,4,10,2,0,0,HB,GBR,TA/TO,0,0,0,E,E,0,No Deposit,40.0,,0,Contract,134.73,0,0
86,Renaissance Hotel,0,69,2018,July,27,3,4,10,2,0,0,BB,GBR,TA/TO,0,0,0,F,F,1,No Deposit,241.0,,0,Transient,92.45,0,1
87,Renaissance Hotel,1,79,2018,July,27,3,6,15,2,1,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,108.73,0,2
88,Renaissance Hotel,0,12,2018,July,27,3,0,1,2,0,0,BB,GBR,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,73.8,0,0
89,Renaissance Hotel,0,9,2018,July,27,3,0,1,2,0,0,BB,PRT,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,98.0,1,2
90,Renaissance Hotel,0,1,2018,July,27,3,0,1,2,0,0,BB,ESP,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,131.0,0,1
91,Renaissance Hotel,0,21,2018,July,27,3,0,1,2,0,0,BB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,123.0,0,0
92,Renaissance Hotel,0,9,2018,July,27,3,0,1,2,0,0,BB,USA,TA/TO,0,0,0,C,C,0,No Deposit,241.0,,0,Transient,94.71,0,0
93,Renaissance Hotel,0,109,2018,July,27,3,0,1,2,0,0,BB,BEL,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,123.0,0,2
94,Renaissance Hotel,1,109,2018,July,27,3,0,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,123.0,0,1
95,Renaissance Hotel,1,72,2018,July,27,3,0,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,73.8,0,1
96,Renaissance Hotel,1,63,2018,July,27,3,2,5,2,0,0,BB,PRT,TA/TO,0,0,0,F,F,0,No Deposit,242.0,,0,Transient,117.0,0,1
97,Renaissance Hotel,0,63,2018,July,27,3,2,5,3,0,0,HB,ESP,TA/TO,0,0,0,E,E,0,No Deposit,105.0,,0,Transient,196.54,0,1
98,Renaissance Hotel,0,101,2018,July,27,3,2,5,2,1,0,BB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,99.3,1,2
99,Renaissance Hotel,0,102,2018,July,27,3,2,5,2,0,0,BB,DEU,Direct,0,0,0,E,E,0,No Deposit,250.0,,0,Transient,90.95,0,0
100,Renaissance Hotel,0,4,2018,July,27,4,2,1,2,0,0,BB,ESP,Direct,0,0,0,A,C,0,No Deposit,250.0,,0,Transient,92.67,0,1
101,Renaissance Hotel,0,98,2018,July,27,4,2,1,2,0,0,BB,FRA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Transient,71.55,1,0
102,Renaissance Hotel,0,92,2018,July,27,4,2,4,1,2,0,BB,FRA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,96.49,0,2
103,Renaissance Hotel,0,95,2018,July,27,4,2,4,2,0,0,BB,PRT,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,85.8,1,2
104,Renaissance Hotel,0,102,2018,July,27,4,2,5,2,0,0,BB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,96.3,0,1
105,Renaissance Hotel,1,26,2018,July,27,4,2,5,2,2,0,BB,PRT,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,163.0,0,0
106,Renaissance Hotel,1,73,2018,July,27,4,2,5,3,0,0,HB,PRT,Direct,0,0,0,D,D,0,No Deposit,250.0,,0,Transient,172.0,0,1
107,Renaissance Hotel,1,102,2018,July,27,4,2,5,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,110.7,0,1
108,Renaissance Hotel,0,115,2018,July,27,4,2,5,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,134.0,,0,Transient,58.95,0,1
109,Renaissance Hotel,0,102,2018,July,27,4,2,5,2,0,1,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,73.8,0,2
110,Renaissance Hotel,0,86,2018,July,27,4,2,5,2,0,0,BB,CHE,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,97.0,0,2
111,Renaissance Hotel,0,78,2018,July,27,4,2,5,2,0,1,HB,PRT,TA/TO,0,0,0,E,F,0,No Deposit,240.0,,0,Transient,139.0,0,2
112,Renaissance Hotel,0,52,2018,July,27,4,2,5,2,0,0,BB,GBR,TA/TO,0,0,0,A,A,0,No Deposit,147.0,,0,Transient,67.24,0,0
113,Renaissance Hotel,0,29,2018,July,27,4,2,6,3,0,0,BB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,116.5,0,1
114,Renaissance Hotel,1,101,2018,July,27,4,2,6,2,0,0,BB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,96.3,0,1
115,Renaissance Hotel,0,109,2018,July,27,4,2,6,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,123.0,0,1
116,Renaissance Hotel,0,92,2018,July,27,4,4,6,2,0,0,BB,GBR,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,71.55,0,1
117,Renaissance Hotel,0,92,2018,July,27,4,4,6,2,0,0,BB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,71.55,0,1
118,Renaissance Hotel,0,79,2018,July,27,4,4,6,2,1,0,HB,PRT,Direct,0,0,0,D,D,1,No Deposit,250.0,,0,Transient,149.0,0,1
119,Renaissance Hotel,0,2,2018,July,27,4,0,1,2,2,0,BB,PRT,TA/TO,0,0,0,H,G,1,No Deposit,240.0,,0,Transient,163.0,1,0
120,Renaissance Hotel,0,30,2018,July,27,4,0,1,2,0,0,BB,PRT,TA/TO,0,0,0,D,C,0,No Deposit,8.0,,0,Contract,79.5,0,0
121,Renaissance Hotel,1,51,2018,July,27,4,0,1,1,0,0,HB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,105.0,0,0
122,Renaissance Hotel,1,36,2018,July,27,4,0,1,1,0,0,BB,PRT,Direct,0,0,0,E,G,1,No Deposit,250.0,,0,Transient,123.0,0,0
123,Renaissance Hotel,1,73,2018,July,27,4,0,1,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,73.8,0,2
124,Renaissance Hotel,1,33,2018,July,27,4,0,1,2,0,0,BB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,113.0,0,0
125,Renaissance Hotel,0,32,2018,July,27,4,0,1,4,0,0,FB,PRT,Direct,0,0,0,H,H,2,No Deposit,,,0,Transient,0.0,0,1
126,Renaissance Hotel,0,8,2018,July,27,4,0,1,2,0,0,BB,ESP,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,123.0,0,0
127,Renaissance Hotel,0,100,2018,July,27,4,1,1,2,0,0,BB,FRA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient-Party,73.8,1,1
128,Renaissance Hotel,0,1,2018,July,27,4,1,1,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,114.5,0,0
129,Renaissance Hotel,0,100,2018,July,27,4,1,1,2,0,0,BB,FRA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,73.8,0,2
130,Renaissance Hotel,0,100,2018,July,27,4,1,1,2,0,0,BB,FRA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient-Party,73.8,0,1
131,Renaissance Hotel,0,9,2018,July,28,5,1,0,2,0,0,BB,ESP,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,88.2,0,1
132,Renaissance Hotel,1,5,2018,July,28,5,1,0,2,0,0,BB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,97.0,0,0
133,Renaissance Hotel,0,0,2018,July,28,5,1,0,2,0,0,BB,ESP,TA/TO,0,0,0,A,C,1,No Deposit,306.0,,0,Transient,85.1,0,0
134,Renaissance Hotel,0,9,2018,July,28,5,1,0,1,0,0,BB,DEU,TA/TO,0,0,0,A,A,0,No Deposit,184.0,,0,Transient,89.0,0,0
135,Renaissance Hotel,0,2,2018,July,28,5,1,0,1,0,0,BB,PRT,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,80.1,0,0
136,Renaissance Hotel,0,2,2018,July,28,5,1,0,2,0,0,BB,PRT,TA/TO,0,0,0,A,E,0,No Deposit,240.0,,0,Transient,98.0,0,0
137,Renaissance Hotel,0,9,2018,July,28,5,1,0,1,0,0,BB,DEU,TA/TO,0,0,0,A,A,0,No Deposit,184.0,,0,Transient,101.0,1,0
138,Renaissance Hotel,1,5,2018,July,28,5,1,0,2,0,0,BB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,97.0,0,0
139,Renaissance Hotel,0,2,2018,July,28,5,1,0,2,0,0,BB,PRT,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,167.0,0,1
140,Renaissance Hotel,0,44,2018,July,28,5,2,0,3,0,0,HB,PRT,TA/TO,0,0,0,G,G,3,No Deposit,240.0,,0,Transient,225.0,2,0
141,Renaissance Hotel,0,80,2018,July,28,5,2,0,2,0,0,BB,FRA,TA/TO,0,0,0,D,E,0,No Deposit,240.0,,0,Transient,97.0,1,0
142,Renaissance Hotel,0,97,2018,July,28,5,2,2,2,0,0,BB,ESP,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,87.3,0,2
143,Renaissance Hotel,0,109,2018,July,28,5,2,3,2,1,0,BB,CN,TA/TO,0,0,0,A,D,0,No Deposit,241.0,,0,Transient,85.59,1,2
144,Renaissance Hotel,0,30,2018,July,28,5,2,3,2,0,0,BB,ESP,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,123.0,0,0
145,Renaissance Hotel,0,64,2018,July,28,5,2,3,2,0,0,BB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,107.0,0,0
146,Renaissance Hotel,0,39,2018,July,28,5,2,4,2,0,0,BB,ESP,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,163.0,0,0
147,Renaissance Hotel,0,90,2018,July,28,5,2,4,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,82.0,0,0
148,Renaissance Hotel,1,34,2018,July,28,5,2,4,2,2,0,BB,PRT,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,163.0,0,0
149,Renaissance Hotel,1,93,2018,July,28,5,2,5,2,0,0,HB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,15.0,,0,Transient,105.5,0,0
150,Renaissance Hotel,0,97,2018,July,28,5,2,5,2,2,0,HB,PRT,Direct,0,0,0,C,C,1,No Deposit,250.0,,0,Transient,164.2,1,1
151,Renaissance Hotel,0,29,2018,July,28,5,2,5,2,0,0,BB,IRL,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,97.29,0,1
152,Renaissance Hotel,1,101,2018,July,28,5,2,5,2,0,0,HB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,114.0,0,1
153,Renaissance Hotel,0,27,2018,July,28,5,2,5,2,0,0,BB,ESP,TA/TO,0,0,0,E,E,0,No Deposit,175.0,,0,Transient,98.4,0,0
154,Renaissance Hotel,0,8,2018,July,28,5,4,5,2,2,0,BB,CHE,TA/TO,0,0,0,H,H,1,No Deposit,240.0,,0,Transient,175.0,1,1
155,Renaissance Hotel,0,82,2018,July,28,5,4,6,2,0,0,BB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,5.0,,0,Transient,63.6,1,2
156,Renaissance Hotel,0,94,2018,July,28,5,4,6,3,0,0,BB,PRT,Direct,0,0,0,D,C,3,No Deposit,,,0,Transient,124.45,1,1
157,Renaissance Hotel,0,110,2018,July,28,5,4,7,2,0,0,BB,GBR,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,110.7,0,0
158,Renaissance Hotel,0,96,2018,July,28,5,4,10,1,0,0,HB,GBR,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Contract,74.07,0,0
159,Renaissance Hotel,0,79,2018,July,28,5,4,10,2,0,0,HB,GBR,TA/TO,0,0,0,D,D,0,No Deposit,243.0,,0,Contract,134.1,0,0
160,Renaissance Hotel,0,115,2018,July,28,6,1,4,2,2,0,BB,PRT,TA/TO,0,0,0,G,G,1,No Deposit,240.0,,0,Transient,167.0,0,0
